,제목,저자,번역,출간일,쪽수,판매가
64,"IT CookBook, 데이터베이스 개론(3판)",김연희,,2022-01-15,552,29000
65,"IT CookBook, 디지털 논리회로 실험(2판)","홍경호 , 임석구",,2022-01-15,468,25000
66,"IT CookBook, 디지털 논리회로(4판)","임석구 , 홍경호",,2022-01-15,816,32000
67,공학도를 위한 수치해석(8판),"Steven C.Chapra , Raymond P. Canale","나양 , 이승배 , 임윤철",2022-01-10,600,36000
68,"Case, Fair, Oster의 경제학원론","Karl E. Case , Ray C. Fair , Sharon M. Oster","박원규 , 이상규",2022-01-03,800,39000
69,"IT CookBook, C 언어 for Beginner 4판",우재남,,2022-01-03,536,26000
70,"IT CookBook, 가상현실의 이해",송은지,,2022-01-03,288,22000
71,"IT CookBook, 난생처음 C 언어 프로그래밍",김화수,,2022-01-03,540,25000
72,"IT CookBook, 데이터 과학을 위한 파이썬 머신러닝",최성철,,2022-01-03,508,30000
73,"IT CookBook, 엑셀과 파워포인트 2019",김지연,,2022-01-03,548,23000
74,"IT CookBook, 자바스크립트 프로그래밍 입문(2판)",윤인성,,2022-01-03,512,27000
75,"IT CookBook, 파이썬 for Beginner(3판)",우재남,,2022-01-03,524,25000
76,기본 재무관리(제5판),"Jonathan Berk , Peter DeMarzo , Jarrad Harford","선정훈 , 고광수 , 변진호",2021-12-31,912,42000
77,(개발자에게 필요 없는 수학은 없다) 프로그래머를 위한 수학,폴 올랜드,"노희준 , 박종태 , 박한길 , 신정규",2021-12-29,732,42000
78,"STEM CookBook, 컴퓨팅 사고력을 키우는 이산수학(3판)",박주미,,2021-12-26,652,29000
79,"IT CookBook, 그림으로 배우고 실생활 예제로 실습하는 자바를 부탁해",박세홍(홍팍),,2021-10-29,556,26000
80,온톨로지 과학자를 위한 지식그래프,"딘 알레망 , 제임스 핸들러 , 파비엔 갠던",김학래,2021-10-29,544,45000
81,"IT CookBook, 시스템 프로그래밍: 리눅스&유닉스",이종원,,2021-10-15,552,28000
82,한번에 적용하는 분석,히든그레이스 데이터분석팀,,2021-10-08,356,24000
83,인공지능 논리 입문,이은정,,2021-09-10,260,22000
84,"IT CookBook, 처음 만나는 전기기기(2판)","최은혁 , 박숭규",,2021-08-31,328,24000
85,"IT CookBook, 현대 센서공학(5판)",Jacob Fraden,"김윤 , 김혁 , 박동욱",2021-08-27,688,35000
86,"IT CookBook, 모바일 웹 서비스 구현을 위한 JSP 웹 프로그래밍","김현규 , 박유현",,2021-08-23,660,30000
87,미래조직을 위한 조직설계의 이해(4판),"현선해 , 최세경 , 서문교",,2021-08-13,292,22000
88,쉽게 배우고 익히는 회계원리(4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선",,2021-08-13,568,30000
89,쉽게 배우고 익히는 회계원리[객관식/학습문제 해답](4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선",,2021-08-13,160,7000
90,"IT CookBook, 짧고 굵게 배우는 JSP 웹 프로그래밍과 스프링 프레임워크",황희정,,2021-08-09,472,27000
91,데이터베이스 시스템(7판),"Abraham Silberschatz , Henry F. Korth , S. Sudarshan","정연돈 , 권준호 , 김종욱 , 서영균 , 이동호",2021-08-05,1248,45000
92,비즈니스 애널리틱스,"Sanjiv Jaggia , Alison Kelly , Kevin Lertwachara , Leida Chen","장혜정 , 이상규 , 오세환 , 변종복",2021-07-20,704,38000
93,"STEM CookBook, 문제 해결력을 키우는 정역학",오충석,,2021-07-16,460,30000
94,최신 관리회계,"정재권 , 서한결 , 곽종민",,2021-07-10,460,28000
95,"IT CookBook, 처음 만나는 회로이론(2판)",방성완,,2021-07-02,400,23000
96,안전필수 시스템 제어 설계,"김국헌 , 김태효 , 이성섭",,2021-07-02,488,38000
97,"IT CookBook, C로 배우는 쉬운 자료구조(4판)",이지영,,2021-06-30,624,29000
98,"IT CookBook, 디지털 콘텐츠 기획(2판)",김성은,,2021-06-30,548,30000
99,"IT CookBook, 쉽게 배우는 소프트웨어 공학(2판)",김치수,,2021-06-30,560,30000
100,"IT CookBook, 컴퓨터 구조와 원리 3.0",신종홍,,2021-06-30,580,29000
101,"IT CookBook, 난생처음 파이썬 프로그래밍","우재남 , 최민아",,2021-06-28,428,24000
102,"IT CookBook, 정보 보안 개론(4판)",양대일,,2021-06-28,568,30000
103,"IT CookBook, 최신 기술 동향으로 알아보는 ICT와 4차 산업혁명","김용태 , 정윤수 , 박길철",,2021-06-28,472,24000
104,"STEM CookBook, 한 걸음씩 알아가는 선형대수학",Kuldeep Singh,한빛수학교재연구소,2021-06-28,580,32000
105,"STEM CookBook, 해석학 첫걸음",스티븐 애벗(Stephen Abbott),"한빛수학교재연구소 , 김세익(감수)",2021-06-28,384,26000
106,"IT CookBook, 익스플로링 아두이노(2판)",JEREMY BLUM,허경용,2021-06-21,480,32000
107,"IT CookBook, 난생처음 인공지능 입문",서지영,,2021-06-18,428,25000
108,제대로 작성하는 논문 : 시작부터 마무리까지,"노경섭 , 김정욱",,2021-06-14,288,20000
109,수학이 외계어처럼 들리는 이공계생을 위한 제로 수학,"김우섭(소동) , 강민범",,2021-06-10,416,22000
110,"STEM CookBook, 기초 선형대수학(2판)","이광연 , 설한국 , 김진수",,2021-06-07,440,26000
111,"STEM CookBook, 이공계생을 위한 확률과 통계(2판)","안승철 , 이광연 , 박기섭",,2021-06-07,448,25000
112,"IT CookBook,  문제해결을 위한 컴퓨팅 사고와 파이썬",김지연,,2021-05-31,432,24000
113,"IT CookBook, 컴퓨터 활용과 실습 2019","김경희 , 김혜란",,2021-05-24,572,25000
114,누워서 읽는 통계학,"와쿠이 요시유키 , 와쿠이 사다미",권기태,2021-04-09,388,19800
115,만만한 통계 : R 활용,"닐 J. 샐카인드 , 레슬리 A. 쇼",김재경,2021-04-01,500,28000
116,4차 산업혁명 시대를 위한 e-비즈니스 개론(4판),이동훈,,2021-03-07,512,27000
117,한글처럼 쉬운 중국어,"김원재 , 강은주",,2021-03-05,156,18000
118,회계원리,"이기호 , 이정엽 , 전홍준",,2021-03-05,332,23000
119,알기쉬운 회계원리의 기초(3판),"김혁 , 윤승준 , 이원강",,2021-02-25,404,26000
120,최신 원가회계,"정재권 , 서한결 , 곽종민",,2021-02-25,444,28000
121,"IT CookBook, C 언어 일취월장(2판)",신윤환,,2021-02-24,800,28000
122,소비자행동,김학윤,,2021-02-23,660,35000
123,"Numerical Methods for Engineers, 8th Edition","Steven Chapra , Raymond Canale",,2021-02-18,1008,45000
124,"IT CookBook, SQL Server로 배우는 데이터베이스 개론과 실습(2판)","박우창 , 남송휘 , 이현룡",,2021-02-10,604,29000
125,"IT CookBook, 손에 잡히는 데이터 통신",임석구,,2021-01-23,572,29000
126,"IT CookBook, 파이썬 자료구조와 알고리즘 for Beginner",우재남,,2021-01-23,520,27000
127,"STEM CookBook, 대학물리학(5판)",Alan Giambattista,김용은 외,2021-01-20,1464,43000
128,"STEM CookBook, 재료역학(2판)","Anthony Bedford , Kenneth M. Liechti","정광영 , 김형종 , 마정범 , 최정호 , 홍석무",2021-01-20,840,38000
129,창업을 디자인하라(2판),유순근,,2021-01-20,505,29000
130,"IT CookBook, 디지털 회로 실험 with PSpice",홍순관,,2021-01-15,396,22000
131,데이터 과학을 위한 기초수학 with 파이썬,이병준,,2021-01-06,448,26000
132,미분적분학 : 대학수학의 첫걸음,수학교재편찬위원회,,2021-01-06,620,28000
133,제대로 시작하는 기초 통계학 : Excel 활용 (2판),노경섭,,2021-01-06,364,25000
134,친절한 미분적분학,"캐럴 애시, 로버트 B. 애시","김광수 , 한빛수학교재연구소",2021-01-06,688,32000
135,"IT CookBook, 4차 산업혁명과 정보통신의 이해","김정섭 , 이호상 , 양인창",,2021-01-05,448,25000
